ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
abq-domain,abq,domain,onymic,domain-onymic,,Cirikba:2007
abq-boundedness,abq,boundedness,bound,boundedness-bound,,Cirikba:2007
abq-transparency,abq,transparency,opaque,transparency-opaque,,Cirikba:2007
abq-symmetry,abq,symmetry,asymmetric,symmetry-asymmetric,,Cirikba:2007
aka-domain,aka,domain,onymic,domain-onymic,,Agyekum:2006
aka-boundedness,aka,boundedness,phon. patt.,boundedness-phonpatt,,Agyekum:2006
aka-transparency,aka,transparency,opaque,transparency-opaque,,Agyekum:2006
aka-symmetry,aka,symmetry,symmetric,symmetry-symmetric,,Agyekum:2006
anu-domain,anu,domain,onymic,domain-onymic,,Reh:1996
anu-boundedness,anu,boundedness,bound,boundedness-bound,,Reh:1996
anu-transparency,anu,transparency,opaque,transparency-opaque,,Reh:1996
anu-symmetry,anu,symmetry,symmetric,symmetry-symmetric,,Reh:1996
arw-domain,arw,domain,onymic,domain-onymic,,DeGoeje:1928
arw-boundedness,arw,boundedness,bound,boundedness-bound,,DeGoeje:1928
arw-transparency,arw,transparency,opaque,transparency-opaque,,DeGoeje:1928
arw-symmetry,arw,symmetry,symmetric,symmetry-symmetric,,DeGoeje:1928
azj-domain,azj,domain,compound,domain-compound,,Garibova:2007
azj-boundedness,azj,boundedness,bound,boundedness-bound,,Garibova:2007
azj-transparency,azj,transparency,transparent,transparency-transparent,,Garibova:2007
azj-symmetry,azj,symmetry,symmetric,symmetry-symmetric,,Garibova:2007
xub-domain,xub,domain,onymic,domain-onymic,,Coelho:2003
xub-boundedness,xub,boundedness,bound,boundedness-bound,,Coelho:2003
xub-transparency,xub,transparency,part. tran.,transparency-parttran,,Coelho:2003
xub-symmetry,xub,symmetry,symmetric,symmetry-symmetric,,Coelho:2003
ces-domain,ces,domain,onymic,domain-onymic,,Pleskalova:2007
ces-boundedness,ces,boundedness,bound,boundedness-bound,,Pleskalova:2007
ces-transparency,ces,transparency,opaque,transparency-opaque,,Pleskalova:2007
ces-symmetry,ces,symmetry,asymmetric,symmetry-asymmetric,,Pleskalova:2007
chv-domain,chv,domain,onymic,domain-onymic,,Johanson:2007
chv-boundedness,chv,boundedness,bound,boundedness-bound,,Johanson:2007
chv-transparency,chv,transparency,part. tran.,transparency-parttran,,Johanson:2007
chv-symmetry,chv,symmetry,asymmetric,symmetry-asymmetric,,Johanson:2007
dak-domain,dak,domain,compound,domain-compound,,Riggs:1893
dak-boundedness,dak,boundedness,bound,boundedness-bound,,Riggs:1893
dak-transparency,dak,transparency,transparent,transparency-transparent,,Riggs:1893
dak-symmetry,dak,symmetry,asymmetric,symmetry-asymmetric,,Riggs:1893
doa-domain,doa,domain,onymic,domain-onymic,,Tida:2006
doa-boundedness,doa,boundedness,free,boundedness-free,,Tida:2006
doa-transparency,doa,transparency,transparent,transparency-transparent,,Tida:2006
doa-symmetry,doa,symmetry,symmetric,symmetry-symmetric,,Tida:2006
rmt-domain,rmt,domain,inflection,domain-inflection,,Matras:2012
rmt-boundedness,rmt,boundedness,bound,boundedness-bound,,Matras:2012
rmt-transparency,rmt,transparency,opaque,transparency-opaque,,Matras:2012
rmt-symmetry,rmt,symmetry,symmetric,symmetry-symmetric,,Matras:2012
duc-domain,duc,domain,onymic,domain-onymic,,SanRoque:2008
duc-boundedness,duc,boundedness,free,boundedness-free,,SanRoque:2008
duc-transparency,duc,transparency,transparent,transparency-transparent,,SanRoque:2008
duc-symmetry,duc,symmetry,symmetric,symmetry-symmetric,,SanRoque:2008
grt-domain,grt,domain,onymic,domain-onymic,,Hvenekilde:2000
grt-boundedness,grt,boundedness,phon. patt.,boundedness-phonpatt,,Hvenekilde:2000
grt-transparency,grt,transparency,opaque,transparency-opaque,,Hvenekilde:2000
grt-symmetry,grt,symmetry,symmetric,symmetry-symmetric,,Hvenekilde:2000
