Language,Source,Bibkey,Title
Anywa,Reh (1996),hh:g:Reh:Anywa,Anywa Language: Description and Internal Reconstructions
Betta Kurumba,Coelho (2003),hh:g:Coelho:BettaKurumba,A Grammar of Betta Kurumba
Dakota,Riggs (1893),hh:g:Riggs:Dakota,"Dakota Grammar, Texts, and Ethnography"
Dom,Tida (2006),hh:g:Tida:Dom,A grammar of the Dom language: A Papuan Language of Papua New Guinea
Domari,Matras (2012),hh:g:Matras:Domari,A Grammar of Domari
Duna,San Roque (2008),hh:g:SanRoque:Duna,An introduction to Duna grammar
Gumuz,Ahland (2012),hh:g:Ahland:Gumuz,A grammar of Northern and Southern Gumuz
Hdi,Frajzyngier (2002),hh:g:Frajzyngier:Hdi,A Grammar of Hdi
Hidatsa,Matthews (1873),hh:sd:Matthews:Hidatsa:1873,Grammar and dictionary of the language of the Hidatsa
Iatmul,Jendraschek (2012),hh:g:Jendraschek:Iatmul,A grammar of Iatmul
Kham,Watters (2004),hh:d:Watters:Kham,A dictionary of Kham: Taka dialect (A Tibeto-Burman language of Nepal)
Lahu,Matisoff (1973),hh:g:Matisoff:Lahu,The Grammar of Lahu
Lango,Noonan (1992),hh:g:Noonan:Lango,A Grammar of Lango
Luwo,Storch (2014),hh:typ:Storch:Luwo,Counting chickens in Luwo
Mamaindê,Eberhard (2009),hh:g:Eberhard:Mamainde,Mamaindê Grammar: A Northern Nambikwara language and its cultural context
Manambu,Aikhenvald (2010),hh:hv:Aikhenvald:Ndu,Typological plausibility and historical reconstruction: A puzzle from New Guinea
Mangarayi,Merlan (1989),hh:g:Merlan:Mangarayi:1989,Mangarayi
Mavea,Guérin (2011),hh:g:Guerin:Mavea:2011,A grammar of Mavea: An Oceanic language of Vanuatu
Nahavaq,Dimock (2009),hh:g:Dimock:Nahavaq,"A grammar of Nahavaq (Malakula, Vanuatu)"
Nandi,Creider & Creider (1989),hh:g:CreiderCreider:Nandi,A Grammar of Nandi
Neverver,Barbour (2012),hh:g:Barbour:Neverver:2012,A grammar of Neverver
Sa’a,Ivens (1918),hh:sd:Ivens:SaaUlawa,"Dictionary and grammar of the language of Sa'a and Ulawa, Solomon islands: with appendices"
Sivisa Titan,Bowern (2011),hh:st:Bowern:Titan,"Sivisa Titan: Sketch grammar, texts, vocabulary based on material collected by P. Josef Meier and Po Minis"
Telugu,Krishnamurti & Gwynn (1985),hh:g:Krishnamurti:Telugu,A Grammar of Modern Telugu
Toqabaqita,Lichtenberk (2008),hh:d:Lichtenberk:Toqabaqita,A dictionary of Toqabaqita
Unua,Pearce (2015),hh:g:Pearce:Unua,A grammar of Unua
Abaza,Čirikba (2007),,
Akan,Agyekum (2006),,
Arawak,De Goeje (1928),,
Azerbaijani,Garibova (2007),,
Chechen,Pleskalová (2007),,
Chuvash,Johanson (2007),,
Garo,Hvenekilde et al. (2000),,
Greek (Modern),Steffen (2007),,
German,Nübling & Dammel (2007),,
Ibibio,Ekpo (1978),,
Icelandic,Kvaran (2007),,
Kalmyk,Schorkowitz (2007),,
Kaqchikel,Garcia Matzar et al. (1993),,
Kulina,Dienst (2014),,
Latin,Roby (2010 [1862]),,
Mongsen Ao,Coupe (2007),https://glottolog.org/resource/reference/id/64482,
Nuaulu,Ellen (1983),,
Seneca,Chafe (2014),,
Serbian,Loma (2007),,
Sesotho,Mohome (1972),,
Slovene,Bergermayer (2007),,
Toba Batak,Van der Tuuk (1971),,
Tundra Nenets,Salminen (2007),,
Unami,Weslager (1971),,
Wiru,Strathern (1970),,
